"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-04-04","16:00 EDT","MIA","0","0.52","0.52","HFD","0","1.08","1.08","0","-0.55","-0.55","0","0.87","1.80"
"2026-04-04","16:00 EDT","RI","0","1.19","1.20","DET","0","0.67","0.67","0","0.52","0.53","0","1.78","0.89"
"2026-03-29","16:00 EDT","SA","2","1.17","1.18","LEX","0","1.97","1.97","2","-0.80","-0.79","2","0.81","1.93"
"2026-03-28","22:30 EDT","LV","1","2.54","2.55","MB","0","1.41","1.41","1","1.12","1.14","1","2.21","0.59"
"2026-03-28","22:00 EDT","SAC","1","3.17","3.36","ELP","2","1.22","1.22","-1","1.94","2.14","-1","2.54","0.31"
"2026-03-28","20:00 EDT","TUL","1","1.29","1.33","PHX","1","1.19","1.19","0","0.11","0.14","0","1.42","1.30"
"2026-03-28","20:00 EDT","OAK","0","1.11","1.11","OC","1","1.07","1.07","-1","0.03","0.03","-1","1.33","1.34"
"2026-03-28","19:30 EDT","TBR","2","2.10","2.19","LDN","1","0.33","0.33","1","1.77","1.86","2","2.56","0.29"
"2026-03-28","19:30 EDT","BKN","0","0.73","0.73","LOU","0","1.24","1.24","0","-0.51","-0.51","-1","0.98","1.71"
"2026-03-28","19:00 EDT","PIT","3","2.04","2.06","JAX","2","1.24","1.25","1","0.80","0.81","1","2.05","0.71"
"2026-03-28","19:00 EDT","MIA","2","1.79","1.79","RI","1","1.98","1.98","1","-0.19","-0.19","1","1.33","1.46"
"2026-03-28","17:00 EDT","HFD","1","1.48","1.48","IND","2","1.99","1.99","-1","-0.51","-0.51","0","0.99","1.75"
"2026-03-28","16:00 EDT","DET","1","0.98","0.98","CHS","0","0.23","0.23","1","0.75","0.75","1","2.08","0.56"
"2026-03-28","15:00 EDT","NM","3","2.88","2.93","COS","2","2.35","2.35","1","0.53","0.58","1","1.75","1.05"
"2026-03-25","19:30 EDT","JAX","2","2.98","3.10","MIA","4","2.91","2.91","-2","0.07","0.19","-2","1.47","1.31"
"2026-03-25","19:00 EDT","LEX","3","2.50","2.52","BKN","0","0.56","0.57","3","1.93","1.96","3","2.63","0.25"
"2026-03-21","22:00 EDT","PHX","2","1.14","1.14","OAK","2","1.85","1.86","0","-0.71","-0.72","0","0.88","1.89"
"2026-03-21","22:00 EDT","OC","1","0.51","0.52","COS","0","0.95","0.95","1","-0.43","-0.43","1","0.90","1.74"
"2026-03-21","22:00 EDT","SAC","1","1.21","1.21","MB","1","2.22","2.23","0","-1.01","-1.02","0","0.67","2.12"
"2026-03-21","20:30 EDT","SA","1","2.06","2.06","NM","0","0.62","0.62","1","1.44","1.44","1","2.32","0.48"
"2026-03-21","20:00 EDT","TUL","3","1.06","1.11","LV","2","0.89","0.89","1","0.17","0.22","1","1.53","1.16"
"2026-03-21","19:30 EDT","TBR","3","2.10","2.21","PIT","0","0.39","0.39","3","1.71","1.82","3","2.57","0.28"
"2026-03-21","19:00 EDT","BKN","1","2.34","2.36","HFD","2","1.44","1.44","-1","0.90","0.92","-1","2.03","0.77"
"2026-03-21","19:00 EDT","CHS","3","5.72","6.22","BHM","2","1.62","1.66","1","4.09","4.56","1","2.91","0.06"
"2026-03-21","19:00 EDT","IND","2","2.13","2.13","DET","1","2.34","2.36","1","-0.21","-0.23","1","1.25","1.51"
"2026-03-21","16:00 EDT","LOU","4","2.48","2.48","RI","2","1.28","1.35","2","1.21","1.14","2","2.17","0.64"
