"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-03-20","20:00 EDT","ORL","1","2.01","2.02","DEN","1","0.59","0.59","0","1.42","1.43","0","2.40","0.43"
"2026-03-20","20:00 EDT","LOU","2","0.60","0.61","WAS","2","1.53","1.57","0","-0.93","-0.95","0","0.57","2.18"
"2026-03-15","19:00 EDT","LA","4","1.27","1.27","CHI","0","0.42","0.43","4","0.86","0.85","4","2.09","0.61"
"2026-03-15","16:00 EDT","ORL","1","2.23","2.23","SEA","2","1.16","1.16","-1","1.06","1.07","-1","2.08","0.70"
"2026-03-14","20:45 EDT","SD","0","1.89","1.90","HOU","1","0.61","0.69","-1","1.27","1.21","-1","2.28","0.53"
"2026-03-14","19:00 EDT","NC","2","1.39","1.48","LOU","1","2.14","2.15","1","-0.74","-0.67","1","0.87","1.89"
"2026-03-14","18:30 EDT","BAY","2","2.36","2.38","DEN","1","0.75","0.75","1","1.61","1.63","1","2.47","0.37"
"2026-03-14","16:00 EDT","KC","2","1.52","1.52","UTA","1","0.94","0.94","1","0.58","0.58","1","1.77","0.95"
"2026-03-14","12:30 EDT","BOS","0","0.34","0.34","NJY","1","0.63","0.63","-1","-0.29","-0.29","-1","0.95","1.61"
"2026-03-13","20:00 EDT","WAS","0","1.13","1.13","POR","1","0.56","0.56","-1","0.57","0.56","-1","1.84","0.82"
"2025-11-02","17:15 EST","POR","2","1.12","1.13","HOU","0","0.11","0.11","2","1.00","1.01","2","2.28","0.42"
"2025-11-02","17:15 EST","UTA","1","1.21","1.24","WAS","0","0.41","0.41","1","0.80","0.82","1","2.11","0.60"
"2025-11-02","17:15 EST","NC","2","1.90","1.90","NJY","2","2.34","2.36","0","-0.44","-0.46","1","1.08","1.69"
"2025-11-02","17:15 EST","ORL","1","0.88","0.88","SEA","1","0.24","0.24","0","0.65","0.65","0","1.98","0.66"
"2025-11-02","17:15 EST","CHI","2","2.35","2.62","LA","1","1.27","1.28","1","1.08","1.34","1","2.11","0.70"
"2025-11-02","17:15 EST","LOU","1","1.80","1.80","BAY","0","0.29","0.29","1","1.51","1.51","1","2.56","0.28"
"2025-11-02","15:00 EST","KC","2","1.12","1.12","SD","1","0.86","0.86","1","0.26","0.26","1","1.56","1.14"
"2025-10-19","17:00 EDT","LA","0","0.74","0.74","POR","2","1.24","1.25","-2","-0.50","-0.51","-2","0.80","1.91"
"2025-10-19","15:00 EDT","NJY","2","1.38","1.40","LOU","2","0.92","0.92","0","0.46","0.48","0","1.69","1.03"
"2025-10-18","22:00 EDT","SD","5","3.55","3.59","CHI","1","1.22","1.22","4","2.33","2.37","5","2.67","0.23"
"2025-10-18","19:30 EDT","HOU","1","0.39","0.39","KC","0","1.49","1.49","1","-1.10","-1.10","1","0.50","2.26"
"2025-10-18","12:30 EDT","WAS","1","0.93","0.96","ORL","2","1.53","1.53","-1","-0.60","-0.58","-1","0.83","1.90"
"2025-10-17","22:00 EDT","SEA","2","1.63","1.63","UTA","1","1.12","1.12","1","0.51","0.51","1","1.88","0.87"
"2025-10-17","22:00 EDT","BAY","1","1.92","1.94","NC","4","2.82","3.04","-3","-0.90","-1.10","-3","0.83","1.97"
"2025-10-12","17:00 EDT","LA","2","2.32","2.32","HOU","0","0.82","0.87","2","1.50","1.45","2","2.36","0.46"
"2025-10-11","22:50 EDT","UTA","2","0.23","0.23","SD","2","0.22","0.22","0","0.01","0.01","-1","1.20","1.15"
"2025-10-11","19:30 EDT","NC","1","1.23","1.23","WAS","1","0.71","0.71","0","0.53","0.53","0","1.81","0.88"
"2025-10-11","17:00 EDT","KC","2","0.74","0.74","NJY","0","0.65","0.67","2","0.09","0.07","2","1.46","1.12"
"2025-10-10","22:30 EDT","SEA","1","1.62","1.71","BAY","1","1.01","1.01","0","0.60","0.70","0","1.81","0.92"
"2025-10-10","20:00 EDT","ORL","0","1.24","1.24","POR","0","0.91","0.91","0","0.32","0.33","1","1.58","1.13"
"2025-10-10","19:30 EDT","LOU","1","1.74","1.76","CHI","1","2.11","2.11","0","-0.37","-0.35","0","1.07","1.71"
"2025-10-06","22:30 EDT","LA","0","0.86","0.87","KC","1","0.45","0.46","-1","0.41","0.41","-1","1.78","0.84"
"2025-10-05","16:00 EDT","NJY","0","1.30","1.30","SEA","0","0.14","0.14","0","1.16","1.16","0","2.37","0.36"
"2025-10-05","16:00 EDT","CHI","2","2.06","2.21","UTA","2","2.33","2.36","0","-0.27","-0.15","0","1.13","1.64"
"2025-10-05","13:00 EDT","WAS","2","2.75","2.75","SD","1","0.91","0.92","1","1.84","1.83","1","2.52","0.34"
"2025-10-04","22:00 EDT","POR","2","0.46","0.46","BAY","1","0.90","0.92","1","-0.44","-0.46","1","0.90","1.73"
"2025-10-04","19:30 EDT","NC","1","2.20","2.42","LOU","3","1.54","1.56","-2","0.66","0.85","-2","1.93","0.88"
"2025-10-03","20:00 EDT","HOU","1","0.81","0.84","ORL","1","0.87","0.89","0","-0.06","-0.05","0","1.27","1.40"
"2025-09-28","20:00 EDT","SEA","1","0.23","0.23","NC","1","1.06","1.06","0","-0.84","-0.84","1","0.52","2.15"
"2025-09-28","13:00 EDT","WAS","4","2.76","2.98","HOU","0","0.74","0.76","4","2.02","2.22","4","2.59","0.30"
"2025-09-27","22:00 EDT","BAY","0","1.78","1.82","UTA","2","0.93","1.00","-2","0.85","0.82","-2","1.98","0.78"
"2025-09-27","19:30 EDT","LOU","1","1.65","1.67","LA","0","0.89","0.90","1","0.76","0.77","1","1.95","0.79"
"2025-09-26","22:30 EDT","SD","1","1.15","1.17","ORL","2","0.78","0.78","-1","0.36","0.38","-1","1.63","1.04"
"2025-09-26","20:00 EDT","NJY","3","1.73","1.73","POR","0","0.20","0.20","3","1.52","1.52","3","2.60","0.23"
"2025-09-26","20:00 EDT","KC","4","2.67","2.67","CHI","1","0.67","0.67","3","2.00","2.01","3","2.64","0.24"
"2025-09-21","20:30 EDT","BAY","1","0.59","0.61","NJY","1","0.67","0.67","0","-0.08","-0.06","0","1.25","1.36"
"2025-09-20","22:00 EDT","POR","1","1.27","1.35","SD","1","1.15","1.15","0","0.12","0.20","0","1.47","1.26"
"2025-09-20","19:30 EDT","KC","2","2.35","2.44","SEA","0","0.60","0.60","2","1.75","1.84","2","2.57","0.30"
"2025-09-19","22:00 EDT","UTA","3","0.93","0.94","LOU","2","1.43","1.44","1","-0.50","-0.50","1","0.96","1.78"
"2025-09-19","20:00 EDT","HOU","1","3.00","3.35","CHI","0","0.44","0.44","1","2.56","2.90","1","2.80","0.12"
"2025-09-19","20:00 EDT","ORL","0","1.02","1.06","NC","1","1.66","1.76","-1","-0.64","-0.70","-1","0.90","1.83"
"2025-09-18","22:30 EDT","LA","1","1.01","1.01","WAS","2","2.70","2.71","-1","-1.70","-1.70","0","0.31","2.56"
"2025-09-16","20:00 EDT","SEA","1","1.52","1.59","LOU","0","1.84","1.86","1","-0.32","-0.27","1","1.14","1.62"
"2025-09-14","18:00 EDT","UTA","2","0.90","0.91","HOU","0","0.26","0.26","2","0.64","0.64","2","1.98","0.66"
"2025-09-14","15:00 EDT","CHI","1","1.72","1.72","POR","1","1.15","1.15","0","0.57","0.57","0","1.75","1.02"
"2025-09-13","19:30 EDT","KC","0","1.93","2.05","WAS","0","0.48","0.48","0","1.45","1.56","0","2.48","0.36"
"2025-09-13","17:03 EDT","ORL","1","1.79","1.81","BAY","1","1.42","1.44","0","0.37","0.37","0","1.61","1.14"
"2025-09-13","12:30 EDT","NC","2","0.85","0.85","LA","1","0.56","0.56","1","0.28","0.28","1","1.61","1.02"
"2025-09-12","22:00 EDT","SD","0","1.28","1.29","NJY","2","0.95","0.95","-2","0.33","0.34","-2","1.64","1.07"
"2025-09-07","20:30 EDT","SD","0","1.91","1.97","HOU","3","1.80","1.80","-3","0.11","0.17","-3","1.46","1.30"
"2025-09-07","17:00 EDT","NJY","3","1.90","1.94","LA","1","0.96","0.97","2","0.94","0.97","2","2.02","0.76"
"2025-09-07","16:00 EDT","WAS","2","1.32","1.35","SEA","0","0.77","0.77","2","0.56","0.58","2","1.79","0.93"
"2025-09-07","15:00 EDT","CHI","5","2.44","2.44","ORL","2","2.02","2.03","3","0.42","0.41","3","1.65","1.15"
"2025-09-06","22:00 EDT","BAY","0","0.34","0.34","KC","2","3.82","3.84","-2","-3.48","-3.50","-2","0.03","2.94"
"2025-09-06","19:30 EDT","NC","1","2.06","2.07","UTA","1","2.72","2.87","0","-0.65","-0.81","0","1.03","1.75"
"2025-09-05","20:00 EDT","LOU","1","2.79","3.14","POR","1","2.21","2.25","0","0.58","0.88","-1","1.79","1.01"
