Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
8/29/2026,20:30 EDT,HOU,0,0.7,0.7,SJE,0,1.15,1.15,0,-0.45,-0.45,0,0.98,1.71
8/29/2026,20:30 EDT,NSH,4,2.15,2.15,CIN,0,1.9,2.03,4,0.25,0.12,4,1.55,1.23
8/29/2026,20:30 EDT,SKC,0,0.5,0.5,VAN,3,3.33,3.35,-3,-2.83,-2.85,-3,0.06,2.9
8/29/2026,19:30 EDT,ATL,0,1.07,1.09,CLT,2,2.17,2.22,-2,-1.1,-1.13,-2,0.63,2.16
8/29/2026,19:30 EDT,TOR,1,0.58,0.58,NYC,1,0.3,0.3,0,0.28,0.28,0,1.55,0.97
8/29/2026,19:30 EDT,NYRB,1,2.96,3.02,PHI,3,2.53,2.65,-2,0.43,0.37,-2,1.69,1.07
8/29/2026,19:30 EDT,MIA,7,3.06,3.08,MTL,1,0.78,0.82,6,2.27,2.26,6,2.67,0.24
8/29/2026,19:30 EDT,DCU,0,1.33,1.45,LAFC,0,1.8,1.83,0,-0.46,-0.38,0,1.03,1.73
8/29/2026,16:30 EDT,SEA,2,1.09,1.09,CHI,2,2.31,2.33,0,-1.22,-1.23,0,0.54,2.27
8/23/2026,19:00 EDT,ATL,2,1.68,1.69,SKC,1,0.62,0.62,1,1.06,1.07,1,2.27,0.51
8/23/2026,16:30 EDT,NER,1,3.1,3.1,NYC,1,1.35,1.39,0,1.75,1.71,0,2.57,0.31
8/22/2026,22:30 EDT,LAFC,1,3.18,3.2,POR,1,0.8,0.8,0,2.37,2.4,0,2.69,0.21
8/22/2026,22:30 EDT,SJE,1,2.16,2.19,MIN,5,2.06,2.14,-4,0.1,0.05,-4,1.46,1.31
8/22/2026,22:30 EDT,SD,3,1.24,1.24,COL,0,0.49,0.49,3,0.75,0.75,3,2.05,0.68
8/22/2026,21:30 EDT,VAN,5,1.55,1.55,FCD,0,1.74,1.82,5,-0.19,-0.27,5,1.18,1.54
8/22/2026,21:00 EDT,ATX,1,1.44,1.45,PHI,1,0.96,0.96,0,0.48,0.49,0,1.74,0.98
8/22/2026,20:30 EDT,NSH,3,0.79,0.79,CLB,2,0.26,0.26,1,0.53,0.53,1,1.81,0.77
8/22/2026,20:30 EDT,STL,2,1.34,1.34,HOU,1,1.59,1.68,1,-0.25,-0.34,1,1.18,1.56
8/22/2026,19:30 EDT,CLT,3,2.07,2.15,DCU,1,1.75,2.17,2,0.32,-0.02,2,1.6,1.15
8/22/2026,19:30 EDT,NYRB,1,0.73,0.73,CHI,1,0.76,0.76,0,-0.03,-0.03,0,1.3,1.31
8/22/2026,19:30 EDT,ORL,2,2.24,2.69,RSL,1,0.4,0.41,1,1.83,2.28,1,2.62,0.25
8/22/2026,19:30 EDT,MIA,1,1.81,1.81,TOR,2,0.77,0.77,-1,1.04,1.04,-1,2.15,0.63
8/22/2026,19:30 EDT,MTL,2,1.77,1.79,LAG,2,1.07,1.13,0,0.7,0.65,0,1.91,0.85
8/22/2026,19:30 EDT,CIN,1,1.94,2.41,SEA,1,1.25,1.3,0,0.69,1.12,0,1.85,0.91
8/19/2026,22:30 EDT,POR,3,1.85,1.85,SD,1,1.74,1.75,2,0.11,0.11,2,1.51,1.26
8/19/2026,22:30 EDT,VAN,0,1.76,1.77,HOU,1,0.83,0.83,-1,0.94,0.94,-1,2.06,0.69
8/19/2026,22:30 EDT,LAG,1,1.76,1.76,SJE,0,2.12,2.14,1,-0.36,-0.37,1,1.17,1.57
8/19/2026,21:30 EDT,COL,0,2.94,2.94,LAFC,0,0.58,0.62,0,2.36,2.32,1,2.82,0.12
8/19/2026,21:30 EDT,RSL,3,1.87,1.87,FCD,4,2.36,2.43,-1,-0.5,-0.56,-1,1.04,1.76
8/19/2026,21:30 EDT,SEA,1,1.59,1.59,ATX,2,1.24,1.25,-1,0.36,0.34,-1,1.5,1.22
8/19/2026,20:30 EDT,MIN,1,2.52,2.66,ATL,2,1.18,1.19,-1,1.33,1.48,-1,2.27,0.53
8/19/2026,20:00 EDT,SKC,1,2.25,2.25,STL,1,0.72,0.72,0,1.54,1.54,0,2.42,0.41
8/19/2026,19:30 EDT,CLB,0,0.42,0.44,MTL,2,1.37,1.37,-2,-0.96,-0.94,-1,0.52,2.23
8/19/2026,19:30 EDT,PHI,2,3.24,3.44,MIA,2,1.56,1.56,0,1.68,1.88,0,2.41,0.45
8/19/2026,19:30 EDT,CIN,2,1.51,1.51,NYC,1,2.15,2.16,1,-0.63,-0.65,1,0.95,1.85
8/19/2026,19:30 EDT,NYRB,0,2.3,2.3,NSH,1,1.06,1.06,-1,1.24,1.24,-1,2.3,0.52
8/19/2026,19:30 EDT,DCU,0,2.02,2.12,NER,3,2.45,2.48,-3,-0.43,-0.36,-3,1.07,1.71
8/19/2026,19:30 EDT,ORL,1,1.73,1.73,CHI,2,1.35,1.37,-1,0.37,0.36,-1,1.67,1.04
8/19/2026,19:30 EDT,TOR,3,2.13,2.25,CLT,3,1.94,2.25,0,0.2,0,0,1.51,1.25
8/16/2026,22:30 EDT,SEA,0,0.89,0.89,VAN,2,1.93,1.95,-2,-1.04,-1.05,-2,0.64,2.15
8/16/2026,20:30 EDT,ATX,1,0.71,0.72,FCD,2,1.63,1.63,-1,-0.92,-0.91,-1,0.71,2.07
8/16/2026,18:00 EDT,CHI,2,1.27,1.28,POR,1,1.17,1.17,1,0.1,0.11,1,1.43,1.26
8/16/2026,18:00 EDT,NYC,2,2.65,2.7,PHI,3,2.71,2.71,-1,-0.06,-0.01,-1,1.32,1.44
8/15/2026,22:30 EDT,LAFC,0,1.1,1.11,SD,1,1.05,1.07,-1,0.05,0.04,-1,1.31,1.32
8/15/2026,22:30 EDT,SJE,1,0.22,0.22,STL,3,3.11,3.11,-2,-2.89,-2.89,-2,0.06,2.9
8/15/2026,21:30 EDT,COL,2,3.13,3.21,SKC,0,0.41,0.42,2,2.72,2.79,2,2.81,0.12
8/15/2026,21:30 EDT,RSL,1,1.19,1.19,MIN,1,2.37,2.42,0,-1.18,-1.23,0,0.61,2.2
8/15/2026,20:30 EDT,HOU,1,1.35,1.35,LAG,0,0.96,0.96,1,0.39,0.39,1,1.69,1.01
8/15/2026,20:30 EDT,NSH,4,2.2,2.22,MIA,1,2.71,2.76,3,-0.51,-0.54,3,1.1,1.71
8/15/2026,19:30 EDT,TOR,1,0.16,0.16,NER,1,2.48,2.52,0,-2.32,-2.36,1,0.12,2.79
8/15/2026,19:30 EDT,MTL,1,2.69,2.79,DCU,1,0.73,0.73,0,1.96,2.06,0,2.61,0.27
8/15/2026,19:30 EDT,ORL,1,1.81,1.83,CIN,1,1,1.01,0,0.81,0.82,0,1.96,0.81
8/15/2026,19:30 EDT,ATL,2,1.99,1.99,NYRB,1,1.36,1.37,1,0.63,0.62,1,1.89,0.88
8/15/2026,19:30 EDT,CLT,3,1.85,1.85,CLB,1,2.34,2.35,2,-0.49,-0.5,2,1.07,1.68
8/8/2026,16:30 EDT,NER,0,0.43,0.43,HOU,2,1.08,1.14,-2,-0.65,-0.71,-2,0.71,1.94
8/1/2026,22:45 EDT,POR,2,2.02,2.07,SEA,1,1.38,1.42,1,0.64,0.65,1,2,0.77
8/1/2026,22:30 EDT,LAG,0,1.59,1.64,FCD,0,2.17,2.25,0,-0.58,-0.61,0,0.98,1.82
8/1/2026,21:46 EDT,CIN,4,2.97,2.99,SJE,2,1.45,1.45,2,1.53,1.54,2,2.35,0.51
8/1/2026,21:30 EDT,COL,1,2.9,3.08,ATX,0,0.86,0.87,1,2.05,2.21,1,2.64,0.25
8/1/2026,20:30 EDT,MIN,1,1.2,1.23,SD,1,1.85,1.92,0,-0.65,-0.69,0,0.9,1.87
8/1/2026,20:30 EDT,STL,1,2.22,2.23,RSL,1,1.24,1.24,0,0.98,0.98,0,2.07,0.73
8/1/2026,20:30 EDT,SKC,0,0.5,0.5,HOU,2,1.37,1.37,-2,-0.87,-0.87,-2,0.6,2.14
8/1/2026,20:30 EDT,CHI,2,1.17,1.17,CLT,1,1.12,1.12,1,0.05,0.05,1,1.43,1.27
8/1/2026,20:10 EDT,MIA,2,1.52,1.58,CLB,1,1.01,1.01,1,0.5,0.56,0,1.71,1.01
8/1/2026,19:30 EDT,DCU,2,2.03,2.08,NSH,2,1.81,1.83,0,0.22,0.25,0,1.59,1.18
8/1/2026,19:30 EDT,NYRB,3,3.82,3.82,ORL,2,3.78,4.54,1,0.04,-0.72,1,1.37,1.44
8/1/2026,19:30 EDT,PHI,3,2.44,2.45,ATL,2,0.7,0.7,1,1.74,1.75,1,2.53,0.31
8/1/2026,19:30 EDT,VAN,1,2.67,2.69,LAFC,1,0.31,0.31,0,2.36,2.38,0,2.81,0.11
8/1/2026,19:30 EDT,MTL,2,1.14,1.14,NER,2,4.12,4.26,0,-2.98,-3.12,0,0.09,2.85
7/31/2026,19:30 EDT,NYC,1,2.33,2.53,TOR,1,0.93,0.97,0,1.4,1.56,0,2.34,0.48
7/25/2026,22:30 EDT,SJE,1,4.02,4.21,LAG,1,1.14,1.14,0,2.88,3.06,0,2.79,0.15
7/25/2026,22:30 EDT,LAFC,4,1.42,1.42,SKC,0,0.6,0.61,4,0.82,0.81,4,2.09,0.66
7/25/2026,22:30 EDT,POR,2,2.36,2.39,RSL,1,0.24,0.24,1,2.11,2.15,1,2.74,0.16
7/25/2026,21:30 EDT,SD,1,1.6,1.6,FCD,0,0.67,0.67,1,0.93,0.93,1,2.16,0.64
7/25/2026,20:46 EDT,ORL,1,1.01,1.02,NSH,0,1,1,1,0.01,0.02,1,1.31,1.32
7/25/2026,20:30 EDT,HOU,3,1.63,1.63,ATX,0,1.23,1.23,3,0.4,0.4,3,1.68,1.07
